Category,Command,Binding,When
Window,Show System Menu,Alt+-,In Windows
Edit,Word Completion,Alt+/,Editing Text
Terminal view commands,Terminal view insert,Alt+A,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+B,Terminal Typing Connected
ASA 9.x table schema editor,Copy,Alt+C,In Windows
Database Tools,Execute Selected Text As One Statement,Alt+C,Editing SQL
Terminal view commands,Terminal view insert,Alt+C,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+D,Terminal Typing Connected
Navigate,Go To Next Unread Task,Alt+Down,In Tasks View
Text Editing,Move Lines Down,Alt+Down,Editing Text
Terminal view commands,Terminal view insert,Alt+E,Terminal Typing Connected
File,Properties,Alt+Enter,In Windows
Run/Debug,Java Breakpoint Properties,Alt+Enter,In Breakpoints View
Terminal view commands,Terminal view insert,Alt+F,Terminal Typing Connected
Window,Toggle Full Screen,Alt+F11,In Dialogs and Windows
Window,Update Project,Alt+F5,In Windows
Navigate,Next Page,Alt+F7,In Windows
Terminal view commands,Terminal view insert,Alt+G,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+L,Terminal Typing Connected
Navigate,Backward History,Alt+Left,In Windows
Terminal view commands,Terminal view insert,Alt+N,Terminal Typing Connected
Terminal view commands,Terminal view insert,Alt+P,Terminal Typing Connected
Navigate,Next Sub-Tab,Alt+PageDown,In Dialogs and Windows
Navigate,Previous Sub-Tab,Alt+PageUp,In Dialogs and Windows
Database Tools,Edit in SQL Query Builder...,Alt+Q,Editing SQL
Terminal view commands,Terminal view insert,Alt+R,Terminal Typing Connected
Navigate,Forward History,Alt+Right,In Windows
Terminal view commands,Quick Access,Alt+Right,Terminal Control in Focus
Database Tools,Execute Current Text,Alt+S,Editing SQL
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected
Edit,Toggle Block Selection,Alt+Shift+A,Editing Text
Navigate,Show In Breadcrumb,Alt+Shift+B,Editing Java Source
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation
Refactor - Java,Change Method Signature,Alt+Shift+C,In Windows
Refactor - JavaScript,Change Function Signature,Alt+Shift+C,JavaScript View
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks Editor
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks View
Run/Debug,Debug Java Applet,Alt+Shift+D, A,In Windows
Run/Debug,Debug Eclipse Application,Alt+Shift+D, E,In Windows
Run/Debug,Debug Java Application,Alt+Shift+D, J,In Windows
Run/Debug,Debug OSGi Framework,Alt+Shift+D, O,In Windows
Run/Debug,Debug JUnit Plug-in Test,Alt+Shift+D, P,In Windows
Run/Debug,Debug Ant Build,Alt+Shift+D, Q,In Windows
Run/Debug,Debug on Server,Alt+Shift+D, R,In Windows
Run/Debug,Debug JUnit Test,Alt+Shift+D, T,In Windows
Run/Debug,Debug XSLT Transformation,Alt+Shift+D, X,In Windows
Edit,Restore Last Selection,Alt+Shift+Down,Editing in Structured Text Editors
Edit,Restore Last Selection,Alt+Shift+Down,Editing Java Source
Edit,Restore Last Selection,Alt+Shift+Down,Editing JavaScript Source
Task Repositories,Mark Task Read and Go To Next Unread Task,Alt+Shift+Down,In Tasks View
JavaScript Debug,Evaluate,Alt+Shift+E,Editing JavaScript Source
Run/Debug,Coverage Eclipse Application,Alt+Shift+E, E,In Windows
Run/Debug,Coverage TestNG Suite,Alt+Shift+E, G,In Windows
Run/Debug,Coverage Java Application,Alt+Shift+E, J,In Windows
Run/Debug,Coverage Scala Application,Alt+Shift+E, L,In Windows
Run/Debug,Coverage TestNG Test,Alt+Shift+E, N,In Windows
Run/Debug,Coverage JUnit Plug-in Test,Alt+Shift+E, P,In Windows
Run/Debug,Coverage RAP JUnit Test,Alt+Shift+E, R,In Windows
Run/Debug,Coverage SWTBot Test,Alt+Shift+E, S,In Windows
Run/Debug,Coverage JUnit Test,Alt+Shift+E, T,In Windows
Run/Debug,Force Return,Alt+Shift+F,In Windows
Spy,Plug-in Selection Spy,Alt+Shift+F1,In Dialogs and Windows
Spy,Plug-in Menu Spy,Alt+Shift+F2,In Dialogs and Windows
Window,Show Contributing Plug-in,Alt+Shift+F3,In Dialogs and Windows
Navigate,Previous Page,Alt+Shift+F7,In Windows
EMF Code Generation,Generate Code,Alt+Shift+G,In Windows
Focused UI,Focus on Active Task,Alt+Shift+H,In Windows
Refactor - Java,Inline,Alt+Shift+I,In Windows
Refactor - JavaScript,Inline,Alt+Shift+I,JavaScript View
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks Editor
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks View
Source,Add Javadoc Comment,Alt+Shift+J,In Windows
Source,Add JSDoc Comment,Alt+Shift+J,JavaScript View
Refactor - Java,Extract Local Variable,Alt+Shift+L,In Windows
Refactor - JavaScript,Extract Local Variable,Alt+Shift+L,JavaScript View
Edit,Select Previous Element,Alt+Shift+Left,Editing in Structured Text Editors
Edit,Select Previous Element,Alt+Shift+Left,Editing Java Source
Edit,Select Previous Element,Alt+Shift+Left,Editing JavaScript Source
Refactor - Java,Extract Method,Alt+Shift+M,In Windows
Refactor - JavaScript,Extract Function,Alt+Shift+M,JavaScript View
File,New menu,Alt+Shift+N,In Windows
Source,Toggle Ant Mark Occurrences,Alt+Shift+O,Editing Ant Buildfiles
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Java Source
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing JavaScript Source
Navigate,Open Maven POM,Alt+Shift+P,In Windows
Views,Show View (Breakpoints),Alt+Shift+Q, B,In Windows
Views,Show View (Console),Alt+Shift+Q, C,In Windows
Views,JavaScript Declaration,Alt+Shift+Q, D,JavaScript View
Views,Show View (),Alt+Shift+Q, D,In Windows
Views,Show View (Cheat Sheets),Alt+Shift+Q, H,In Windows
Views,Documentation,Alt+Shift+Q, J,JavaScript View
Views,Show View (Javadoc),Alt+Shift+Q, J,In Windows
Views,Show View (Task List),Alt+Shift+Q, K,In Windows
Views,Show View (Error Log),Alt+Shift+Q, L,In Windows
Views,Show View (Outline),Alt+Shift+Q, O,In Windows
Views,JavaScript Script Explorer,Alt+Shift+Q, P,JavaScript View
Views,Show View (Package Explorer),Alt+Shift+Q, P,In Windows
Views,Show View,Alt+Shift+Q, Q,In Windows
Views,Show View (Search),Alt+Shift+Q, S,In Windows
Views,JavaScript Type Hierarchy,Alt+Shift+Q, T,JavaScript View
Views,Show View (Type Hierarchy),Alt+Shift+Q, T,In Windows
Views,Show View (Variables),Alt+Shift+Q, V,In Windows
Views,Show View (Problems),Alt+Shift+Q, X,In Windows
Views,Show View (Synchronize),Alt+Shift+Q, Y,In Windows
Views,Show View (History),Alt+Shift+Q, Z,In Windows
Edit,Rename,Alt+Shift+R,Editing JSP Source
File,Rename,Alt+Shift+R,Project Explorer +
Refactor - Java,Rename - Refactoring ,Alt+Shift+R,In Windows
Refactor - JavaScript,Rename - Refactoring ,Alt+Shift+R,JavaScript View
Source,Rename In File,Alt+Shift+R,Editing Ant Buildfiles
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks Editor
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks View
Edit,Select Next Element,Alt+Shift+Right,Editing in Structured Text Editors
Edit,Select Next Element,Alt+Shift+Right,Editing Java Source
Edit,Select Next Element,Alt+Shift+Right,Editing JavaScript Source
Source,Show Source Quick Menu,Alt+Shift+S,In Windows
Source,Show Source Quick Menu,Alt+Shift+S,JavaScript View
Task Editor,Submit Task,Alt+Shift+S,In Tasks Editor
Refactor - Java,Show Refactor Quick Menu,Alt+Shift+T,In Windows
Refactor - JavaScript,Show Refactor Quick Menu,Alt+Shift+T,JavaScript View
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing Java Source
Source,Remove Occurrence Annotations,Alt+Shift+U,Editing JavaScript Source
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks Editor
Task Repositories,Mark Task Unread,Alt+Shift+U,In Tasks View
Edit,Select Enclosing Element,Alt+Shift+Up,Editing in Structured Text Editors
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source
Edit,Select Enclosing Element,Alt+Shift+Up,Editing JavaScript Source
Task Repositories,Mark Task Read and Go To Previous Unread Task,Alt+Shift+Up,In Tasks View
Edit,Move,Alt+Shift+V,Editing JSP Source
File,Move...,Alt+Shift+V,Project Explorer +
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows
Refactor - JavaScript,Move - Refactoring ,Alt+Shift+V,JavaScript View
Navigate,Show In...,Alt+Shift+W,In Windows
Run/Debug,Run Java Applet,Alt+Shift+X, A,In Windows
Run/Debug,Run Eclipse Application,Alt+Shift+X, E,In Windows
Run/Debug,Run Java Application,Alt+Shift+X, J,In Windows
Run/Debug,Run Maven Build,Alt+Shift+X, M,In Windows
Run/Debug,Run OSGi Framework,Alt+Shift+X, O,In Windows
Run/Debug,Run JUnit Plug-in Test,Alt+Shift+X, P,In Windows
Run/Debug,Run Ant Build,Alt+Shift+X, Q,In Windows
Run/Debug,Run on Server,Alt+Shift+X, R,In Windows
Run/Debug,Run JUnit Test,Alt+Shift+X, T,In Windows
Run/Debug,Run XSLT Transformation,Alt+Shift+X, X,In Windows
Edit,Toggle Word Wrap,Alt+Shift+Y,Editing Text
Source,Surround With Quick Menu,Alt+Shift+Z,In Windows
Source,Surround With Quick Menu,Alt+Shift+Z,JavaScript View
Terminal view commands,Terminal view insert,Alt+T,Terminal Typing Connected
Navigate,Go To Previous Unread Task,Alt+Up,In Tasks View
Terminal view commands,Maximize Active View or Editor,Alt+Up,Terminal Control in Focus
Text Editing,Move Lines Up,Alt+Up,Editing Text
ASA 9.x table schema editor,Paste,Alt+V,In Windows
